标题,发布时间,详情页链接,项目编号,项目名称,预算金额,采购需求,提交投标文件截止时间,项目联系人,电话,采购人名称,采购人地址
宣恩县人民医院医疗器械及医用耗材采购项目废标公告,2026.04.16 15:43:03,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/202604/t20260416_26414482.htm,STBN-ZC-2026-057,宣恩县人民医院医疗器械及医用耗材采购项目,详见公告正文,,,田建,15827187842,宣恩县人民医院,恩施土家族苗族自治州宣恩县宣北大道10号
河北省药品医疗器械检验研究院检验检测科研仪器购置项目公开招标公告,2026.04.16 14:44:58,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260416_26413787.htm,HBZJ-2026N0393,检验检测科研仪器购置项目,11000000,01包 药品检验检测相关仪器，预算金额：258.5万元；02包 有源医疗器械检验检测相关仪器，预算金额：197万元；03包 医疗机器人测量系统，预算金额：380万元；04包 无源医疗器械及体外诊断试剂检验检测相关仪器，预算金额：264.5万元。,2026年05月09日 09点00分（北京时间）,魏振平、郑德志,0311-86063928,河北省药品医疗器械检验研究院,石家庄市玉泉路219号
河北省药品医疗器械检验研究院中央提前下达检验检测科研仪器购置项目公开招标公告,2026.04.16 14:44:57,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260416_26413786.htm,HBZJ-2026N0394,中央提前下达检验检测科研仪器购置项目,4260000,X射线粉末衍射仪等检验检测科研仪器一批。,2026年05月08日 09点00分（北京时间）,魏振平、郑德志,0311-86063928,河北省药品医疗器械检验研究院,石家庄市玉泉路219号
天津市医疗器械质量监督检验中心 2026年餐饮服务 (项目编号:DCZX-ZC-2026-104)公开招标公告,2026.04.15 18:51:02,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260415_26410848.htm,DCZX-ZC-2026-104,2026年餐饮服务,160.0万元,包号 是否设置最高限价 预算（万元）,2026年05月15日  14:00,张琪,13389073002,天津市医疗器械质量监督检验中心,天津市滨海高新区海泰产业园区华科大街5号
药品、医疗器械、化妆品市级监督抽验经费项目（三次）公开招标公告,2026.04.15 17:29:58,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260415_26410366.htm,11000026210200163815-XM001,药品、医疗器械、化妆品市级监督抽验经费项目,666.08 万元（人民币）,标的名称 采购包预算金额 （万元） 数量 简要技术需求或服务要求 药品、医疗器械、化妆品市级监督抽验经费项目 （ 三次） 666.08 1项 北京市2026年市级医疗器械抽检检验项目。,2026-05-06 13:30（北京时间）,魏新卓、付颖、喻晓娇,17600173064、15110095604,北京市药品监督管理局机关,北京市通州区留庄路6号院2号楼
药品、医疗器械、化妆品市级监督抽验经费项目（二次）废标公告,2026.04.15 17:14:18,http://www.ccgp.gov.cn/cggg/dfgg/fblbgg/202604/t20260415_26409976.htm,11000026210200163815-XM001,药品、医疗器械、化妆品市级监督抽验经费项目,,,,魏新卓,17600173064,北京市药品监督管理局机关,北京市通州区留庄路6号院2号楼
河南省药品医疗器械检验院（河南省疫苗批签中心）河南省药品医疗器械检验院(河南省疫苗批签中心)熊儿河路79号院机关餐厅服务采购项目-中标公告,2026.04.15 16:33:46,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260415_26409074.htm,豫财,河南省药品医疗器械检验院（河南省疫苗批签中心）河南省药品医疗器械检验院(河南省疫苗批签中心)熊儿河路79号院机关餐厅服务采购项目,,,,程鹏、李雪、郭保瑞、孙登雯、屈冬寒,0371-63336272,河南省药品医疗器械检验院（河南省疫苗批签中心）,郑州市熊儿河路79号
陕西省医疗器械质量检验院陕西省医疗器械质量检验院无源检验所工业CT分析软件购置采购实行单一来源采购方式的公示,2026.04.15 16:27:00,http://www.ccgp.gov.cn/cggg/dfgg/dylygg/202604/t20260415_26408913.htm,,陕西省医疗器械质量检验院无源检验所工业CT分析软件购置,160000.00元,,,许老师,02933585310,陕西省医疗器械质量检验院无源检验所工业CT分析软件购置,东丽开发区四纬路28号厂房1
武汉药品医疗器械检验所化学试剂及检验耗材配送服务中标（成交）结果公告,2026.04.15 15:35:59,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260415_26408105.htm,,化学试剂及检验耗材配送服务,,,,宫永鑫、史欢、盛其昌、胡佳康、马晶晶,027-85492633,武汉药品医疗器械检验所,武汉市高新大道666号
上海市医疗器械化妆品审评核查中心2026年技术劳务服务补充项目的公开招标公告,2026.04.14 17:10:07,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260414_26403363.htm,310000000251127156747-00318109,上海市医疗器械化妆品审评核查中心2026年技术劳务服务补充项目,￥474.228000万元（人民币）,标项一 包名称： 技术咨询服务 数量： 1 预算金额（元）： 1149900.00 简要规格描述或项目基本概况介绍、用途： （1）辅助完成本市第二类医疗器械技术审评等相关工作； （2）辅助完成医疗器械产业发展状况与趋势的分析与研究、监管科学以及本市重点或优势产业发展政策法规的研究，以及相关技术文件制修订工作； （3）完成领导交办的其他工作。 标项二 包名称： 技术咨询服务 数量： 6 预算金额（元）： 1458000.00 简要规格描述或项目基本概况介绍、用途： （1）辅助完成化妆品审查相关工作； （2）辅助完成化妆品产业发展状况与趋势的分析与研究、监管科学以及本市重点或优势产业发展政策法规的研究，以及相关技术文件制修订； （3）完成领导交办的其他工作。 标项三 包名称： 技术咨询服务 数量： 12 预算金额（元）： 2134380.00 简要规格描述或项目基本概况介绍、用途： （1）负责接收受理企业提交的各项申请资料并进行初步审核； （2）负责数据统计、信息报送、资料移交、批件制作及送达、回执归档等工作； （3）参与制定和完善有关医疗器械、化妆品或执业药师审评核查的技术指南、技术标准等技术文件； （4）完成领导交办的其他工作。 合同履约期限： 自合同签订之日起12个月。（具体内容及要求详见招标文件第三部分—采购需求） 本项目（ 否 ）接受联合体投标。,2026年05月06日 14:00,王一澄,021-62091273*8003,上海市医疗器械化妆品审评核查中心,南昌路210号
